product_id,product_name,product_type,category,skin_type,use_case,ingredients,scent,product_form,packaging_type,dermatologist_tested,spf_rating,paraben_free,cruelty_free,shelf_life_months,storage_conditions,price_usd,available_online,average_rating,review_count,launch_year,stock_status,tagline,keywords
SK015,Charcoal Detox Face Mask,Sun Care,Serum,Oily,Brightening,"Charcoal, Kaolin Clay",Herbal,Lotion,Tube,No,50,No,No,12,"Store in a cool, dry place",25.77,No,4.1,441,2018,In Stock,Get glowing with Charcoal Detox Face Mask,"acne, hydration, gentle"
SK016,Sunscreen SPF 50+,Anti-Aging,Serum,Oily,Brightening,"Zinc Oxide, Avobenzone",None,Gel,Pump,Yes,15,No,Yes,18,"Store in a cool, dry place",27.49,No,5.0,169,2022,In Stock,Get glowing with Sunscreen SPF 50+,"hydration, gentle, brightening"
SK017,Retinol Night Cream,Acne Care,Sunscreen,Combination,Pore Minimizing,"Retinol, Peptides",Herbal,Cream,Pump,Yes,30,No,No,24,"Store in a cool, dry place",40.44,No,3.1,68,2019,Limited Stock,Get glowing with Retinol Night Cream,"gentle, moisturizing, brightening"
SK018,Green Tea Toner,Acne Care,Cleanser,Combination,Hydration,"Green Tea Extract, Witch Hazel",Lavender,Serum,Jar,No,0,Yes,Yes,36,"Store in a cool, dry place",31.92,Yes,4.1,496,2023,In Stock,Get glowing with Green Tea Toner,"hydration, anti-aging, moisturizing"
SK019,Niacinamide Pore Serum,Eye Care,Moisturizer,Oily,Anti-aging,"Niacinamide, Zinc PCA",Citrus,Serum,Pump,No,50,No,No,36,"Store in a cool, dry place",37.28,Yes,3.9,303,2018,Limited Stock,Get glowing with Niacinamide Pore Serum,"moisturizing, hydration, brightening"
SK020,Cucumber Eye Gel,Eye Care,Moisturizer,Sensitive,Anti-aging,"Cucumber Extract, Chamomile",Unscented,Serum,Bottle,Yes,50,Yes,Yes,36,"Store in a cool, dry place",21.31,Yes,3.8,199,2023,In Stock,Get glowing with Cucumber Eye Gel,"hydration, moisturizing, anti-aging"
SK021,Aloe Vera Soothing Gel,Face Care,Serum,Oily,Acne Treatment,"Aloe Vera, Glycerin",Citrus,Foam,Tube,Yes,0,Yes,Yes,36,"Store in a cool, dry place",29.54,No,4.2,389,2020,In Stock,Get glowing with Aloe Vera Soothing Gel,"hydration, moisturizing, gentle"
SK022,Vitamin C Brightening Serum,Eye Care,Moisturizer,Sensitive,Acne Treatment,"Vitamin C, Ferulic Acid",Lavender,Cream,Pump,No,0,Yes,Yes,18,"Store in a cool, dry place",18.74,No,4.2,221,2020,In Stock,Get glowing with Vitamin C Brightening Serum,"gentle, natural, anti-aging"
SK023,Tea Tree Oil Cleanser,Eye Care,Sunscreen,Oily,Brightening,"Tea Tree Oil, Salicylic Acid",Unscented,Mask,Jar,Yes,0,Yes,Yes,12,"Store in a cool, dry place",14.67,No,4.4,248,2020,Limited Stock,Get glowing with Tea Tree Oil Cleanser,"gentle, hydration, anti-aging"
SK024,Hyaluronic Acid Moisturizer,Eye Care,Night Cream,Sensitive,Hydration,"Hyaluronic Acid, Ceramides",None,Serum,Pump,No,30,Yes,No,36,"Store in a cool, dry place",41.89,No,3.7,43,2022,In Stock,Get glowing with Hyaluronic Acid Moisturizer,"brightening, hydration, natural"
SK025,Charcoal Detox Face Mask,Acne Care,Cleanser,Oily,Anti-aging,"Charcoal, Kaolin Clay",Unscented,Gel,Pump,Yes,30,Yes,Yes,12,"Store in a cool, dry place",25.21,No,4.3,426,2021,Out of Stock,Get glowing with Charcoal Detox Face Mask,"anti-aging, brightening, hydration"
SK026,Sunscreen SPF 50+,Eye Care,Mask,Sensitive,Hydration,"Zinc Oxide, Avobenzone",None,Foam,Bottle,No,0,Yes,No,12,"Store in a cool, dry place",12.01,Yes,3.6,393,2023,In Stock,Get glowing with Sunscreen SPF 50+,"natural, gentle, brightening"
SK027,Retinol Night Cream,Face Care,Toner,Sensitive,Anti-aging,"Retinol, Peptides",Citrus,Foam,Bottle,No,0,Yes,Yes,18,"Store in a cool, dry place",23.45,No,3.3,11,2022,Limited Stock,Get glowing with Retinol Night Cream,"gentle, acne, anti-aging"
SK028,Green Tea Toner,Sun Care,Toner,Oily,Acne Treatment,"Green Tea Extract, Witch Hazel",Rose,Mask,Sachet,Yes,0,Yes,No,12,"Store in a cool, dry place",41.97,No,3.9,136,2020,Limited Stock,Get glowing with Green Tea Toner,"gentle, hydration, moisturizing"
SK029,Niacinamide Pore Serum,Eye Care,Serum,Oily,Pore Minimizing,"Niacinamide, Zinc PCA",Unscented,Gel,Tube,Yes,50,Yes,No,18,"Store in a cool, dry place",7.61,Yes,4.8,492,2022,Limited Stock,Get glowing with Niacinamide Pore Serum,"hydration, anti-aging, natural"
SK030,Cucumber Eye Gel,Acne Care,Sunscreen,Combination,Acne Treatment,"Cucumber Extract, Chamomile",Herbal,Mask,Tube,Yes,15,No,Yes,18,"Store in a cool, dry place",33.65,Yes,3.5,372,2022,Limited Stock,Get glowing with Cucumber Eye Gel,"natural, hydration, acne"
SK031,Aloe Vera Soothing Gel,Face Care,Sunscreen,Dry,Anti-aging,"Aloe Vera, Glycerin",Rose,Cream,Tube,No,30,No,No,18,"Store in a cool, dry place",10.41,No,4.8,97,2018,Limited Stock,Get glowing with Aloe Vera Soothing Gel,"brightening, moisturizing, anti-aging"
SK032,Vitamin C Brightening Serum,Eye Care,Serum,Normal,Pore Minimizing,"Vitamin C, Ferulic Acid",None,Gel,Tube,No,15,No,Yes,18,"Store in a cool, dry place",33.74,No,3.5,495,2024,In Stock,Get glowing with Vitamin C Brightening Serum,"acne, natural, moisturizing"
SK033,Tea Tree Oil Cleanser,Face Care,Sunscreen,Dry,Acne Treatment,"Tea Tree Oil, Salicylic Acid",Herbal,Gel,Tube,No,0,Yes,No,18,"Store in a cool, dry place",26.11,Yes,4.6,129,2022,Out of Stock,Get glowing with Tea Tree Oil Cleanser,"gentle, hydration, moisturizing"
SK034,Hyaluronic Acid Moisturizer,Eye Care,Toner,Normal,Hydration,"Hyaluronic Acid, Ceramides",Unscented,Foam,Bottle,Yes,0,Yes,No,12,"Store in a cool, dry place",13.28,No,3.1,296,2019,Out of Stock,Get glowing with Hyaluronic Acid Moisturizer,"natural, hydration, brightening"
SK035,Charcoal Detox Face Mask,Sun Care,Night Cream,Normal,Acne Treatment,"Charcoal, Kaolin Clay",Rose,Mask,Bottle,No,0,No,Yes,24,"Store in a cool, dry place",6.18,No,3.2,119,2018,Limited Stock,Get glowing with Charcoal Detox Face Mask,"anti-aging, hydration, acne"
SK036,Sunscreen SPF 50+,Acne Care,Serum,Dry,Acne Treatment,"Zinc Oxide, Avobenzone",Herbal,Mask,Pump,No,0,Yes,No,36,"Store in a cool, dry place",13.38,No,4.2,282,2023,In Stock,Get glowing with Sunscreen SPF 50+,"brightening, hydration, anti-aging"
SK037,Retinol Night Cream,Acne Care,Mask,Sensitive,Hydration,"Retinol, Peptides",Unscented,Gel,Tube,No,15,No,No,18,"Store in a cool, dry place",30.93,No,3.6,325,2024,Limited Stock,Get glowing with Retinol Night Cream,"acne, hydration, gentle"
SK038,Green Tea Toner,Eye Care,Sunscreen,Sensitive,Anti-aging,"Green Tea Extract, Witch Hazel",Unscented,Mask,Tube,No,30,Yes,No,24,"Store in a cool, dry place",22.84,No,3.5,218,2018,In Stock,Get glowing with Green Tea Toner,"anti-aging, moisturizing, natural"
SK039,Niacinamide Pore Serum,Face Care,Mask,Sensitive,Hydration,"Niacinamide, Zinc PCA",Lavender,Foam,Sachet,No,30,No,Yes,18,"Store in a cool, dry place",16.14,No,5.0,164,2018,In Stock,Get glowing with Niacinamide Pore Serum,"acne, brightening, hydration"
SK040,Cucumber Eye Gel,Acne Care,Sunscreen,Oily,Anti-aging,"Cucumber Extract, Chamomile",None,Mask,Sachet,Yes,0,No,No,24,"Store in a cool, dry place",29.75,Yes,3.4,84,2020,Out of Stock,Get glowing with Cucumber Eye Gel,"acne, gentle, natural"
SK041,Aloe Vera Soothing Gel,Face Care,Sunscreen,Dry,Hydration,"Aloe Vera, Glycerin",Herbal,Lotion,Bottle,Yes,0,No,Yes,36,"Store in a cool, dry place",17.92,Yes,3.7,103,2021,Limited Stock,Get glowing with Aloe Vera Soothing Gel,"natural, anti-aging, brightening"
SK042,Vitamin C Brightening Serum,Face Care,Toner,Sensitive,Brightening,"Vitamin C, Ferulic Acid",None,Foam,Bottle,No,0,Yes,No,24,"Store in a cool, dry place",25.01,No,4.6,202,2018,Limited Stock,Get glowing with Vitamin C Brightening Serum,"hydration, moisturizing, natural"
SK043,Tea Tree Oil Cleanser,Eye Care,Cleanser,Normal,Hydration,"Tea Tree Oil, Salicylic Acid",None,Serum,Tube,Yes,0,No,Yes,24,"Store in a cool, dry place",34.1,Yes,3.7,217,2022,In Stock,Get glowing with Tea Tree Oil Cleanser,"moisturizing, acne, natural"
SK044,Hyaluronic Acid Moisturizer,Anti-Aging,Mask,Oily,Acne Treatment,"Hyaluronic Acid, Ceramides",Lavender,Serum,Bottle,No,30,No,Yes,24,"Store in a cool, dry place",9.81,No,4.1,445,2018,Limited Stock,Get glowing with Hyaluronic Acid Moisturizer,"moisturizing, gentle, anti-aging"
SK045,Charcoal Detox Face Mask,Anti-Aging,Moisturizer,Dry,Pore Minimizing,"Charcoal, Kaolin Clay",Lavender,Cream,Jar,No,0,Yes,No,24,"Store in a cool, dry place",41.39,Yes,3.3,122,2024,Out of Stock,Get glowing with Charcoal Detox Face Mask,"natural, anti-aging, acne"
SK046,Sunscreen SPF 50+,Anti-Aging,Toner,Combination,Hydration,"Zinc Oxide, Avobenzone",Unscented,Mask,Tube,Yes,0,No,No,36,"Store in a cool, dry place",11.89,Yes,4.3,451,2019,Out of Stock,Get glowing with Sunscreen SPF 50+,"hydration, brightening, gentle"
SK047,Retinol Night Cream,Sun Care,Mask,Sensitive,Anti-aging,"Retinol, Peptides",None,Serum,Bottle,Yes,0,Yes,No,12,"Store in a cool, dry place",24.46,No,3.1,194,2022,Limited Stock,Get glowing with Retinol Night Cream,"gentle, natural, acne"
SK048,Green Tea Toner,Face Care,Serum,Combination,Hydration,"Green Tea Extract, Witch Hazel",Herbal,Cream,Sachet,No,15,Yes,No,24,"Store in a cool, dry place",20.72,No,4.9,459,2022,Limited Stock,Get glowing with Green Tea Toner,"hydration, brightening, anti-aging"
SK049,Niacinamide Pore Serum,Anti-Aging,Mask,Dry,Brightening,"Niacinamide, Zinc PCA",Unscented,Gel,Tube,Yes,0,Yes,No,18,"Store in a cool, dry place",6.13,No,4.0,87,2018,In Stock,Get glowing with Niacinamide Pore Serum,"brightening, hydration, acne"
SK050,Cucumber Eye Gel,Acne Care,Sunscreen,Normal,Brightening,"Cucumber Extract, Chamomile",Rose,Serum,Bottle,Yes,50,Yes,Yes,24,"Store in a cool, dry place",22.67,No,4.8,258,2023,In Stock,Get glowing with Cucumber Eye Gel,"anti-aging, gentle, acne"
